WebsiteWorks,,,,,,,,,,,,,
Status,Title,InstrumentTags,Instruments,Description,Duration,OrderDate,Year,Video Link,Score Link,Movements,Commission,Playlist,isArrangement
PUBLISHED,Across the Valley,[Wind Ensemble],Wind Ensemble,"Inspired by a drive along Colorado’s Million Dollar Highway (US 550), “Across the Valley” captures the feeling of winding through the mountains and coming upon the town of Ouray, nestled quietly between the ridges of the Rockies.  The landscape felt both vast and intimate, which sparked the idea for this piece.
To portray a valley between two ridges, the music follows the structure of the sonata form. The exposition begins with a falling motif, descending into the valley. The development reflects the night spent there, looking up at a sky free of light pollution. The recapitulation returns the opening material as we depart the valley, bringing the development’s motif along as a “souvenir”. Throughout the piece, call-and-response and canonic gestures suggest the echoes and reverberations that linger between the mountains.",6,10/30/25,2025,https://youtu.be/8SblEsUZEHY,,3,,,[Original]
PUBLISHED,Metro Mayhem,[Media Music],Media Music,"A piece in the style of Marco Beltrami's ""4m2 New York City"" from the film ""Knowing"".",3,10/20/25,2025,https://youtu.be/ozhTIEOaDk0,,1,,,[Original]
PUBLISHED,Hollow Caves,[Media Music],Media Music,A mystical piece in Dorian mode.,3,10/14/25,2025,https://youtu.be/zwVQxkPMQyQ,,1,,,[Original]
PUBLISHED,Drifting Waves,[Media Music],Media Music,A lyrical piece with perpetual motion. ,2,10/13/25,2025,https://youtu.be/SwkMncqkjdY,,1,,,[Original]
PUBLISHED,Veiled Memories,[Media Music],Media Music,A minimalistic title screen music for a crime/detective noir film.,3,10/7/25,2025,https://youtu.be/tRW9OAt9hR0,,1,,,[Original]
PUBLISHED,Anvil March,[Media Music],Media Music,"A piece in the style of Steve Jablonsky's ""Gears of War"" ",4,10/6/25,2025,https://youtu.be/8HFNsjeNkMM,,1,,,[Original]
PUBLISHED,A Song of Solace (Chamber Winds & Percussion),"[Chamber Winds,Percussion]",Chamber Winds & Percussion,"“A Song of Solace” traces a journey of self-reflection. A gentle tune opens the piece, embodying the thoughts and words of reassurance and comfort in moments of difficulty. The tune is then fragmented and tossed around between instruments, reflecting the conflicting voices in one’s mind and the worry and self-doubt that arise. However, persistence through these darker moments allows peace and solace to return as the song comes to an end.",4,10/5/25,2025,,,1,,,[Original]
PUBLISHED,A Song of Solace,[Wind Ensemble],Wind Ensemble,"“A Song of Solace” traces a journey of self-reflection. A gentle tune opens the piece, embodying the thoughts and words of reassurance and comfort in moments of difficulty. The tune is then fragmented and tossed around between instruments, reflecting the conflicting voices in one’s mind and the worry and self-doubt that arise. However, persistence through these darker moments allows peace and solace to return as the song comes to an end.",4,9/29/25,2025,https://youtu.be/OwX6r6r3RE4,,1,,,[Original]
PUBLISHED, Suite in Bb Major,"[Trumpet,Horn,Trombone,Tuba]",Brass Choir,“Suite in Bb Major” is collection of short character pieces built around a common theme. The piece was commissioned by Jerry Robbins of the Ann Arbor Area Community Brass Choir.,10,9/3/25,2025,https://youtu.be/IhtrumM99aw,,6,Ann Arbor Area Community Brass Choir,,[Original]
PUBLISHED,on a warm evening,[Chamber Orchestra],Chamber Orchestra,"“on a warm evening” is a chamber orchestra piece that evokes the experience of sitting on a front porch, watching the sun set on a hot, humid summer evening. This piece was written for the Albany Symphony's ""Dogs of Desire"" ensemble.",5,5/19/25,2025,https://youtu.be/PsbAO8dxXv0,,1,,,[Original]
